"Kanton","Metriken","Arbeitslosenquote","Registrierte Arbeitslose","Registrierte Stellensuchende","Nicht arbeitslose Stellensuchende","Arbeitslosenquote","Registrierte Arbeitslose","Registrierte Stellensuchende","Nicht arbeitslose Stellensuchende"
"Zürich",,"3.3","27225.0","34156.0","6931.0","3.3","27225.0","34156.0","6931.0"
"Bern",,"2.4","13658.0","18385.0","4727.0","2.4","13658.0","18385.0","4727.0"
"Luzern",,"1.7","3885.0","6756.0","2871.0","1.7","3885.0","6756.0","2871.0"
"Uri",,"0.6","112.0","257.0","145.0","0.6","112.0","257.0","145.0"
"Schwyz",,"1.7","1455.0","2229.0","774.0","1.7","1455.0","2229.0","774.0"
"Obwalden",,"0.7","153.0","319.0","166.0","0.7","153.0","319.0","166.0"
"Nidwalden",,"1","248.0","436.0","188.0","1","248.0","436.0","188.0"
"Glarus",,"1.8","416.0","713.0","297.0","1.8","416.0","713.0","297.0"
"Zug",,"2.3","1543.0","2615.0","1072.0","2.3","1543.0","2615.0","1072.0"
"Freiburg",,"2.7","4466.0","7837.0","3371.0","2.7","4466.0","7837.0","3371.0"
"Solothurn",,"2.6","3801.0","6628.0","2827.0","2.6","3801.0","6628.0","2827.0"
"Basel-Stadt",,"3.5","3455.0","5168.0","1713.0","3.5","3455.0","5168.0","1713.0"
"Basel-Landschaft",,"2.8","4082.0","5540.0","1458.0","2.8","4082.0","5540.0","1458.0"
"Schaffhausen",,"3","1286.0","2328.0","1042.0","3","1286.0","2328.0","1042.0"
"Appenzell Ausserrhoden",,"1.7","523.0","866.0","343.0","1.7","523.0","866.0","343.0"
"Appenzell Innerrhoden",,"0.7","62.0","102.0","40.0","0.7","62.0","102.0","40.0"
"St. Gallen",,"2.2","6127.0","10363.0","4236.0","2.2","6127.0","10363.0","4236.0"
"Graubünden",,"1.1","1166.0","2590.0","1424.0","1.1","1166.0","2590.0","1424.0"
"Aargau",,"2.9","10684.0","15145.0","4461.0","2.9","10684.0","15145.0","4461.0"
"Thurgau",,"2","3058.0","5618.0","2560.0","2","3058.0","5618.0","2560.0"
"Tessin",,"3.1","5202.0","8675.0","3473.0","3.1","5202.0","8675.0","3473.0"
"Waadt",,"4.3","17155.0","24649.0","7494.0","4.3","17155.0","24649.0","7494.0"
"Wallis",,"2.8","4816.0","8027.0","3211.0","2.8","4816.0","8027.0","3211.0"
"Neuenburg",,"5.1","4738.0","6350.0","1612.0","5.1","4738.0","6350.0","1612.0"
"Genf",,"5.2","12234.0","15497.0","3263.0","5.2","12234.0","15497.0","3263.0"
"Jura",,"4.4","1619.0","2375.0","756.0","4.4","1619.0","2375.0","756.0"
