"Kanton","","Alterklassen","Metriken","Arbeitslosenquote","Arbeitslosenquote"
"Zürich","1","15-24 Jahre",,"3.7","3.7"
"Zürich","2","25-49 Jahre",,"3.4","3.4"
"Zürich","3","50 und mehr",,"2.9","2.9"
"Bern","1","15-24 Jahre",,"2.8","2.8"
"Bern","2","25-49 Jahre",,"2.5","2.5"
"Bern","3","50 und mehr",,"2.2","2.2"
"Luzern","1","15-24 Jahre",,"2.1","2.1"
"Luzern","2","25-49 Jahre",,"1.7","1.7"
"Luzern","3","50 und mehr",,"1.6","1.6"
"Uri","1","15-24 Jahre",,"0.5","0.5"
"Uri","2","25-49 Jahre",,"0.5","0.5"
"Uri","3","50 und mehr",,"0.7","0.7"
"Schwyz","1","15-24 Jahre",,"1.6","1.6"
"Schwyz","2","25-49 Jahre",,"1.6","1.6"
"Schwyz","3","50 und mehr",,"1.9","1.9"
"Obwalden","1","15-24 Jahre",,"0.7","0.7"
"Obwalden","2","25-49 Jahre",,"0.7","0.7"
"Obwalden","3","50 und mehr",,"0.8","0.8"
"Nidwalden","1","15-24 Jahre",,"0.9","0.9"
"Nidwalden","2","25-49 Jahre",,"0.9","0.9"
"Nidwalden","3","50 und mehr",,"1.2","1.2"
"Glarus","1","15-24 Jahre",,"1.8","1.8"
"Glarus","2","25-49 Jahre",,"1.7","1.7"
"Glarus","3","50 und mehr",,"2.1","2.1"
"Zug","1","15-24 Jahre",,"1.8","1.8"
"Zug","2","25-49 Jahre",,"2.4","2.4"
"Zug","3","50 und mehr",,"2.3","2.3"
"Freiburg","1","15-24 Jahre",,"3.2","3.2"
"Freiburg","2","25-49 Jahre",,"2.7","2.7"
"Freiburg","3","50 und mehr",,"2.5","2.5"
"Solothurn","1","15-24 Jahre",,"2.9","2.9"
"Solothurn","2","25-49 Jahre",,"2.5","2.5"
"Solothurn","3","50 und mehr",,"2.6","2.6"
"Basel-Stadt","1","15-24 Jahre",,"4.4","4.4"
"Basel-Stadt","2","25-49 Jahre",,"3.7","3.7"
"Basel-Stadt","3","50 und mehr",,"2.8","2.8"
"Basel-Landschaft","1","15-24 Jahre",,"3.2","3.2"
"Basel-Landschaft","2","25-49 Jahre",,"2.8","2.8"
"Basel-Landschaft","3","50 und mehr",,"2.5","2.5"
"Schaffhausen","1","15-24 Jahre",,"3.8","3.8"
"Schaffhausen","2","25-49 Jahre",,"3.1","3.1"
"Schaffhausen","3","50 und mehr",,"2.3","2.3"
"Appenzell Ausserrhoden","1","15-24 Jahre",,"1.5","1.5"
"Appenzell Ausserrhoden","2","25-49 Jahre",,"1.7","1.7"
"Appenzell Ausserrhoden","3","50 und mehr",,"1.8","1.8"
"Appenzell Innerrhoden","1","15-24 Jahre",,"1","1"
"Appenzell Innerrhoden","2","25-49 Jahre",,"0.5","0.5"
"Appenzell Innerrhoden","3","50 und mehr",,"0.9","0.9"
"St. Gallen","1","15-24 Jahre",,"2.4","2.4"
"St. Gallen","2","25-49 Jahre",,"2.2","2.2"
"St. Gallen","3","50 und mehr",,"2.1","2.1"
"Graubünden","1","15-24 Jahre",,"1.4","1.4"
"Graubünden","2","25-49 Jahre",,"1","1"
"Graubünden","3","50 und mehr",,"1","1"
"Aargau","1","15-24 Jahre",,"3.3","3.3"
"Aargau","2","25-49 Jahre",,"3","3"
"Aargau","3","50 und mehr",,"2.7","2.7"
"Thurgau","1","15-24 Jahre",,"2.3","2.3"
"Thurgau","2","25-49 Jahre",,"2","2"
"Thurgau","3","50 und mehr",,"2","2"
"Tessin","1","15-24 Jahre",,"5.2","5.2"
"Tessin","2","25-49 Jahre",,"2.9","2.9"
"Tessin","3","50 und mehr",,"3","3"
"Waadt","1","15-24 Jahre",,"4.3","4.3"
"Waadt","2","25-49 Jahre",,"4.6","4.6"
"Waadt","3","50 und mehr",,"3.6","3.6"
"Wallis","1","15-24 Jahre",,"3.3","3.3"
"Wallis","2","25-49 Jahre",,"2.8","2.8"
"Wallis","3","50 und mehr",,"2.5","2.5"
"Neuenburg","1","15-24 Jahre",,"6.1","6.1"
"Neuenburg","2","25-49 Jahre",,"5.2","5.2"
"Neuenburg","3","50 und mehr",,"4.6","4.6"
"Genf","1","15-24 Jahre",,"4.6","4.6"
"Genf","2","25-49 Jahre",,"5.8","5.8"
"Genf","3","50 und mehr",,"4.1","4.1"
"Jura","1","15-24 Jahre",,"5.1","5.1"
"Jura","2","25-49 Jahre",,"4.4","4.4"
"Jura","3","50 und mehr",,"4","4"
